Customer Name,CSP Size,Region,Channel,Product,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022
A,S1,US & CA,Channel,HomePass,3991.19,4390.3,4829.33,5312.27,5843.49,6427.84,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
A,S1,US & CA,Channel,WorkPass,3592.07,3951.27,4346.4,4781.04,5259.14,5785.06,8905.95,11853.81,15777.42,20999.76,30745.74,40922.61,54467.97,65906.25,87721.23
A,S1,US & CA,Channel,Haystack,3232.86,3556.15,3911.76,4302.94,4733.23,5206.55,8015.37,10668.45,14199.69,18899.79,27671.19,36830.34,49021.17,59315.64,78949.11
B,S2,US & CA,Direct,Haystack,2909.57,3200.53,3520.58,3872.64,4259.91,4685.9,7213.83,9601.59,12779.73,17009.82,24904.05,33147.3,44119.05,53384.07,71054.19
C,S3,APAC,Direct,HomePass,2618.62,2880.48,3168.53,3485.38,3833.92,4217.31,6492.45,8641.44,11501.76,15308.82,22413.66,29832.57,39707.16,48045.66,63948.78
C,S3,APAC,Direct,Haystack,2356.75,2592.43,2851.67,3136.84,3450.52,3795.58,5843.19,7777.29,10351.56,13777.95,20172.3,26849.31,35736.45,43241.1,57553.89
D,M4,GCC,Direct,HomePass,2121.08,2333.19,2566.51,2823.16,3105.47,3416.02,5258.88,6999.57,9316.41,12400.14,18155.07,24164.4,32162.79,38916.99,51798.51
D,M4,GCC,Direct,Haystack,1908.97,2099.87,2309.86,2540.84,2794.93,3074.42,4732.98,6299.61,8384.79,11160.15,16339.56,21747.96,28946.52,35025.3,46618.65
E,L5,US & CA,Direct,Haystack,1718.07,1889.88,2078.87,2286.76,2515.43,2766.98,4259.7,5669.64,7546.29,10044.12,14705.61,19573.14,26051.88,31522.77,41956.8
E,L5,US & CA,Direct,Hardware,1546.27,1700.89,1870.98,2058.08,2263.89,2490.28,3833.73,5102.67,6791.67,9039.72,13235.04,17615.85,23446.68,28370.49,37761.12
F,S1,US & CA,Channel,HomePass,1391.64,1530.8,1683.88,1852.27,2037.5,2241.25,3450.36,4592.4,6112.5,8135.73,11911.53,15854.25,21102,25533.42,33984.99
F,S1,US & CA,Channel,WorkPass,1252.48,1377.72,1515.5,1667.05,1833.75,2017.13,3105.3,4133.16,5501.25,7322.16,10720.38,14268.84,18991.8,22980.09,30586.5
F,S1,US & CA,Channel,Haystack,1127.23,1239.95,1363.95,1500.34,1650.38,1815.41,2794.77,3719.85,4951.14,6589.95,9648.33,12841.95,17092.62,20682.09,27527.85
G,S2,US & CA,Direct,Haystack,1014.51,1115.96,1227.55,1350.31,1485.34,1633.87,2515.29,3347.88,4456.02,5930.94,8683.5,11557.74,15383.37,18613.86,24775.08
G,S3,APAC,Direct,HomePass,913.06,1004.36,1104.8,1215.28,1336.8,1470.48,2263.77,3013.08,4010.4,5337.87,7815.15,10401.99,13845.03,16752.48,22297.56
G,S3,APAC,Direct,Haystack,821.75,903.92,994.32,1093.75,1203.12,1323.44,2037.39,2711.76,3609.36,4804.08,7033.65,9361.77,12460.53,15077.25,20067.81
H,S1,US & CA,Channel,HomePass,0,0,0,0,0,0,9895.5,13170.9,17530.47,23333.07,34161.96,45469.56,60519.99,73229.16,97468.02
