Time,Revenue,ARR,Net Retention,TCV,ACV,Gross Margin,ARPA,ARPU,EBIDTA Margin,FCF Margin,LTM FCF Margin,Rule of 40,Sales Efficiency,LTV/CAC,Active Households,Recurring Revenue
Q3 2018,1572864,9064393.21,0.99,2283126856,1141563428,0.8,786.68,1.76,0.24,0.22,0.47,0.41,0.64,1.59,0,1258291.2
Q4 2018,1966080,11330491.51,0.62,2853908569,1426954285,0.8,983.35,1.76,0.25,0.22,0.48,0.42,0.65,1.6,"5,272,743",1572864
Q1 2019,2457600,14163114.39,0.99,3567385712,1783692856,0.9,1229.19,1.76,0.26,0.22,0.49,0.43,0.66,1.61,"6,723,739",1966080
Q2 2019,3072000,17703892.99,0.8,4459232140,2229616070,0.8,1536.49,1.76,0.27,0.22,0.5,0.44,0.67,1.62,"8,376,694",2457600
Q3 2019,3840000,22129866.24,0.99,5574040175,2787020087,0.8,1920.61,1.76,0.28,0.22,0.51,0.45,0.68,1.63,"10,277,506",3072000
Q4 2019,4800000,27662332.8,0.99,6967550218,3483775109,0.8,2400.77,1.76,0.29,0.22,0.52,0.46,0.69,1.64,"13,674,841",3840000
Q1 2020,6000000,34577916,0.95,8709437773,4354718886,0.8,3000.96,2.2,0.3,0.22,0.53,0.47,0.7,1.65,"14,760,657",4800000
Q2 2020,14000000,34577916,0.35,11139085452,5569542726,0.8,3000.96,2.05,0.31,0.22,0.54,0.48,0.71,1.66,"16,917,306",11200000
Q3 2020,9000000,34577916,0.98,12067227750,6033613875,0.8,3000.96,1.91,0.32,0.22,0.55,0.49,0.72,1.67,"18,911,488",7200000
Q4 2020,3500000,34577916,0.98,13798901222,6899450611,0.79,3000.96,1.83,0.33,0.22,0.56,0.5,0.73,1.68,"21,140,710",2800000
Q1 2021,3600000,34577916,0.85,17280377562,8640188781,0.79,3000.96,1.68,0.34,0.22,0.57,0.51,0.74,1.69,"23,702,593",2880000
Q2 2021,5400000,54577916,0.85,18720230897,9360115448,0.79,3000.96,1.59,0.35,0.22,0.58,0.52,0.75,1.7,"29,302,523",4320000
Q3 2021,5880000,34577916,0.85,20960300459,10480150229,0.78,3000.96,1.51,0.36,0.22,0.59,0.53,0.76,1.71,"34,650,097",4704000
Q4 2021,16823300,34577916,0.85,26807537294,13403768647,0.78,3000.96,1.44,0.37,0.22,0.6,0.54,0.77,1.72,"37,053,945",13458640
Q1 2022,55823000,35577916,0.84,13418245684,6709122842,0.78,3000.96,1.37,0.38,0.22,0.61,0.55,0.78,1.73,"39,531,002",44658400
